intervalo,animal,mean,count
0_15,Animal1,0.7110458647771294,718
0_15,Animal2,0.7457909755391731,55
0_15,Animal3,0.7659709420784275,76
0_15,Animal4,0.8192184486819171,127
0_15,Animal5,0.8252072190944357,289
0_15,Animal6,0.8292145499711618,298
15_30,Animal1,0.6388527056478848,1874
15_30,Animal2,0.6259689595039816,969
15_30,Animal3,0.6128968832361923,1638
