gene,spearman_rho,p_value,q_value
Ces1c,-0.21137404651145203,1.966303391595663e-46,3.737867120369833e-45
Slc2a2,-0.21099981058537906,2.8531601837595383e-46,5.372093031707245e-45
Gjb1,-0.20987655910915481,8.684098580511372e-46,1.6196663107236775e-44
Tfr2,-0.20932578796745555,1.4953137849371608e-45,2.762836778337165e-44
Hc,-0.2090994165268358,1.8686968798009662e-45,3.420753454968991e-44
Zdhhc20,-0.207765148765515,6.915616393944122e-45,1.2543278542043603e-43
Sdc4,-0.20766476488311464,7.628294847232984e-45,1.3710126284526918e-43
Rrbp1,-0.2062371616163753,3.0606034692292447e-44,5.451182935735331e-43
Abcb11,-0.20610254874600342,3.48714332975013e-44,6.1554306811750054e-43
1810019D21Rik,-0.20572749017574765,5.013409243277791e-44,8.771247853062117e-43
Cfi,-0.20474482942833364,1.2934406696653804e-43,2.2430984244986466e-42
Lipa,-0.20451022740962713,1.6206969456627697e-43,2.7861894448480832e-42
Apoh,-0.2039391207658317,2.8032071053803235e-43,4.7775348683938785e-42
Pdia4,-0.20392351869820025,2.8454160957997803e-43,4.808023608030911e-42
Clec2d,-0.2038600202624811,3.0238217228200072e-43,5.0661826661145374e-42
Hyal1,-0.2036839186102046,3.578940068624761e-43,5.945852534177439e-42
Cyp2e1,-0.2030586879998822,6.502605941818855e-43,1.0713043289146563e-41
Serinc1,-0.20298007932791795,7.008612322726792e-43,1.1451261621513114e-41
Slc38a4,-0.20280898083152615,8.24937984663744e-43,1.3368052423608378e-41
Gadd45g,-0.20273240890483785,8.8732132625805e-43,1.426206717083061e-41
Rpn1,-0.20229930976240132,1.3393967603404492e-42,2.1354737058008613e-41
Dusp6,-0.20202377452104073,1.7396621012912365e-42,2.75144957940222e-41
Scd1,-0.20182919509106692,2.091973903425091e-42,3.282406672278893e-41
Klkb1,-0.20168828032225478,2.3905994011255673e-42,3.721429146476572e-41
C1s1,-0.20097144673502537,4.7057450155209904e-42,7.268170231003905e-41
Cd81,-0.20074049096564575,5.8499429502634e-42,8.965377684240884e-41
Lrg1,-0.19999809956244297,1.1754392735947682e-41,1.7875718799206592e-40
Acsl1,-0.19963439714789216,1.6528223863546216e-41,2.494373937269532e-40
Slco1a1,-0.19913968090580356,2.624888446981697e-41,3.931367014911224e-40
Itih1,-0.19884415878848302,3.4582456803398576e-41,5.140565195512706e-40
Qsox1,-0.19749910086194591,1.2063267495236035e-40,1.779782077468779e-39
Cyp4a12a,-0.19706386461499983,1.8038456181793744e-40,2.6416316941782392e-39
Serpina12,0.19617181418123783,4.102445512414999e-40,5.96362851326798e-39
Ptprf,-0.19595352336966113,5.013041438589646e-40,7.234148119774985e-39
Apof,-0.19514683534524468,1.0493618591794013e-39,1.5033249243461423e-38
Tnrc6a,-0.19435389191776997,2.1622498939672254e-39,3.0593161335149524e-38
Kcnq1ot1,-0.19435176631318646,2.1664352994036083e-39,3.0593161335149524e-38
Mttp,-0.194192547580316,2.5039527026728546e-39,3.5108613426838535e-38
Slc37a4,-0.19411946249226827,2.6759085667146047e-39,3.725543124221671e-38
Hpx,-0.1939089957390348,3.239465593173958e-39,4.478617816576864e-38
Xiap,-0.1936858281825787,3.966243818391137e-39,5.445322242332832e-38
Stx16,-0.19325183599766327,5.8751713733963184e-39,8.010492279451394e-38
Aqp9,-0.1928126269164569,8.73569588522973e-39,1.1829089565136423e-37
Abca1,-0.19264710241618666,1.0141800600589646e-38,1.3639686930180768e-37
Krr1,-0.19215509542330406,1.5791721161552418e-38,2.1094751848911575e-37
Cyp4v3,-0.1918195423259192,2.1344657771376728e-38,2.832106604967234e-37
Cth,0.1914269119740316,3.034582299506655e-38,3.999579470749771e-37
Rplp0,0.19107764617442055,4.1471653532018985e-38,5.429765498861028e-37
Ugt3a2,-0.19098871611216087,4.4900282751523347e-38,5.83999072366853e-37
Ugt2b1,-0.19076160613733822,5.498851495137918e-38,7.105378696658604e-37
Cfh,-0.19074364790055312,5.587627713172885e-38,7.173207785027788e-37
Herpud1,-0.1905869284753852,6.425360356992673e-38,8.195443500499686e-37
Lrp1,-0.18946850263389575,1.7351186863624521e-37,2.1989292582939538e-36
Magt1,-0.18934627301503926,1.9333727344253957e-37,2.4345719082541448e-36
Cldn3,-0.1882608568981804,5.036733747149156e-37,6.302292796274609e-36
Serpind1,-0.18776164523141703,7.808183250448492e-37,9.7086655887652e-36
Ccdc78,-0.18764340333634258,8.661024978277272e-37,1.0701778988783855e-35
Ppap2b,-0.18719112352280942,1.2867444022380675e-36,1.5800581883382977e-35
Rbm47,-0.18563026732419993,5.005371885640582e-36,6.108407541920636e-35
Ptprd,-0.18556300634169465,5.3056774636140074e-36,6.43516831016251e-35
Syvn1,-0.18531320671444407,6.586184267388838e-36,7.939564815016911e-35
Raph1,-0.18476153056840153,1.0605227737383091e-35,1.2706991052609922e-34
Elovl5,-0.18464471344479544,1.172854913543753e-35,1.396827809684337e-34
Ppm1k,-0.1844765459018275,1.355618603514766e-35,1.604825137214786e-34
Cyp27a1,-0.18436675683212356,1.4899270072094023e-35,1.7533248174124928e-34
Hes1,-0.18375074235858743,2.52863802918462e-35,2.958057623489937e-34
Por,-0.18298640961658277,4.861709171193391e-35,5.65388178320549e-34
Adipor2,-0.18278447166795647,5.775474046614106e-35,6.6772585907345545e-34
Slc22a1,-0.18240689823182962,7.965415072270268e-35,9.155596277836233e-34
Grn,-0.18224974683561232,9.103967664618792e-35,1.040378270112795e-33
Cyr61,-0.181688455498188,1.465668169333881e-34,1.6653022820534957e-33
Pnn,-0.18155654012412265,1.638858712714515e-34,1.851442100020912e-33
Cyp2c29,-0.18138921319369514,1.8880560436594217e-34,2.1208447717697026e-33
1300017J02Rik,-0.18061511734610694,3.627671494155104e-34,4.0519246010986673e-33
Cyp4a10,-0.1800551315780789,5.807622413949605e-34,6.450376130549645e-33
Cyp2c37,-0.17981465664510587,7.104867921549288e-34,7.8471083133536e-33
Serping1,-0.1796628617758599,8.067918550190818e-34,8.861263874292915e-33
Eif4g1,-0.1793026007054135,1.0904014958326358e-33,1.1910076006967521e-32
Tgoln1,-0.1792601595685541,1.1297445985991887e-33,1.2272005886981298e-32
Serpinc1,-0.17834374434012149,2.4234710569536265e-33,2.618143322184328e-32
Ugt2b35,-0.1774199224649834,5.209133102383021e-33,5.596987034462626e-32
Hsd17b11,-0.17739047141975783,5.337403871868498e-33,5.703809434964336e-32
Gm10319,-0.1770291189836598,7.191235586927547e-33,7.64358750287944e-32
Tecpr2,-0.1768715537596015,8.187902176991402e-33,8.65640780957861e-32
Cyp2c38,-0.17640346851912053,1.2031495387905569e-32,1.265226935206878e-31
Ces1f,-0.1762336791553138,1.3830380301039733e-32,1.4467016854579658e-31
Sema4g,-0.1759762958524168,1.707855947569994e-32,1.7770690570241464e-31
Arrdc3,-0.1758053650958715,1.9643431883546708e-32,2.0332494677367457e-31
Chka,-0.17560444990462748,2.315067962311993e-32,2.3837965424431303e-31
Lpin2,-0.17552420482097292,2.471925627265173e-32,2.532122779846242e-31
Gm6484,-0.17508220959614942,3.544984862762454e-32,3.612595398804831e-31
Dhcr24,-0.1749456280606721,3.9620074746805097e-32,4.016866039714547e-31
Cldn2,-0.17487128941651486,4.2090870253352717e-32,4.2455944127999145e-31
H6pd,-0.17458533498927306,5.310558151468084e-32,5.329428155051981e-31
Celf1,-0.17457146332359,5.370725576985988e-32,5.362588113990554e-31
Cd164,-0.17418077635518014,7.373404671444824e-32,7.325236701229356e-31
Cyp2c50,-0.1737852028539497,1.0155359423769624e-31,1.0038572790396273e-30
Cltc,-0.17362717148511622,1.1538357224825323e-31,1.1348921509193862e-30
Mat2a,-0.17319056035254105,1.6408300257998465e-31,1.605901465844701e-30
Trf,-0.17304975237161196,1.8377840232937416e-31,1.7898024699762203e-30
Irf2bp2,-0.17301411150912605,1.8912501761135696e-31,1.832843920674768e-30
Egr1,-0.1729196844225114,2.040483259798404e-31,1.967822148595827e-30
Ahr,-0.17258458693607825,2.6707472674154565e-31,2.563139489165222e-30
Cyp7a1,-0.17224742119331898,3.499568315772554e-31,3.342341333469729e-30
Cyp2c54,-0.17204625067349988,4.110891578958475e-31,3.9073233901927434e-30
Son,-0.1711650909642959,8.302264795964394e-31,7.853386364412252e-30
Rbm26,-0.17107800418456498,8.897686067775257e-31,8.376535883805563e-30
Abcc2,-0.17018151277614718,1.8113503744216045e-30,1.697175208640527e-29
Klf10,-0.16992924258287645,2.2109114915578705e-30,2.0617792541556178e-29
Cyp4f15,-0.1696798760353082,2.6916091913892472e-30,2.4982682494725548e-29
Elovl2,-0.16960009248310262,2.8662933130594328e-30,2.6479728410834106e-29
Rnase4,-0.16957179563893032,2.9309132448399856e-30,2.6950769697900705e-29
Tmprss6,-0.16956469985150785,2.9473428962955133e-30,2.697637456470477e-29
Mug-ps1,-0.16947574932299606,3.161218804476969e-30,2.8800597126502153e-29
Vmp1,-0.16887478674013223,5.069511341772923e-30,4.5974421663692975e-29
Cyp4a12b,-0.16857452899313996,6.414468765368711e-30,5.790595775860248e-29
Mettl7b,-0.1685426386507755,6.576633253430739e-30,5.910001791832987e-29
Slc7a2,-0.16839992611384222,7.35361045556331e-30,6.578320303460934e-29
Rdh9,-0.16828533686945638,8.042844188951036e-30,7.162478811511801e-29
Lpcat3,-0.16822125399452026,8.45584657328335e-30,7.496506132457929e-29
Atp2a2,-0.1680602163077589,9.58891349630899e-30,8.463072313483425e-29
Ddx17,-0.16804472618788538,9.705538803310591e-30,8.527933428508907e-29
Tpp1,-0.16739005077446992,1.616051582474632e-29,1.4136876011293573e-28
Nfib,-0.1669899964638814,2.204575528249223e-29,1.9200201847351163e-28
Uvssa,-0.16682524052551934,2.5047891091167658e-29,2.1719158196157218e-28
Cyp2c67,-0.16652585567100273,3.1577576297137017e-29,2.7261514558707376e-28
Atp11c,-0.1665153250324639,3.183568246490468e-29,2.7364845318746325e-28
Tm9sf2,-0.16596787143253947,4.857199491371165e-29,4.157005798459218e-28
